vm_type,idle,usage_10,usage_50,usage_100
a1.medium,0.29,0.8,1.88,2.55
a1.large,0.58,1.59,3.76,5.09
a1.xlarge,1.16,3.18,7.52,10.19
a1.2xlarge,2.32,6.37,15.05,20.37
a1.4xlarge,4.65,12.73,30.09,40.74
a1.metal,4.65,12.73,30.09,40.74
c1.medium,0.95,2.73,5.61,7.67
c1.xlarge,3.82,10.9,22.43,30.7
cr1.8xlarge,27.74,79.2,162.9,222.97
cc2.8xlarge,27.74,79.2,162.9,222.97
c3.large,1.39,3.96,8.14,11.15
c3.xlarge,2.77,7.92,16.29,22.3
c3.2xlarge,5.55,15.84,32.58,44.59
c3.4xlarge,11.1,31.68,65.16,89.19
c3.8xlarge,22.19,63.36,130.32,178.37
c4.large,1.63,4.65,9.56,13.09
c4.xlarge,3.26,9.3,19.12,26.17
c4.2xlarge,6.51,18.59,38.25,52.35
c4.4xlarge,13.03,37.19,76.49,104.7
c4.8xlarge,29.31,83.68,172.1,235.57
c5.large,1.41,3.75,8.14,11.77
c5.xlarge,2.81,7.49,16.29,23.54
c5.2xlarge,5.63,14.98,32.58,47.08
c5.4xlarge,11.26,29.97,65.16,94.15
c5.9xlarge,25.33,67.43,146.61,211.84
c5.12xlarge,28.97,87.77,224.16,313.38
c5.18xlarge,50.66,134.85,293.21,423.68
c5.24xlarge,57.93,175.53,448.31,626.76
c5.metal,57.93,175.53,448.31,626.76
c5a.large,0.68,1.86,4.39,5.94
c5a.xlarge,1.35,3.71,8.78,11.88
c5a.2xlarge,2.71,7.43,17.55,23.77
c5a.4xlarge,5.42,14.85,35.11,47.53
c5a.8xlarge,10.84,29.7,70.21,95.06
c5a.12xlarge,16.26,44.56,105.32,142.6
c5a.16xlarge,21.68,59.41,140.42,190.13
c5a.24xlarge,32.52,89.11,210.63,285.19
c5ad.large,0.68,1.86,4.39,5.94
c5ad.xlarge,1.35,3.71,8.78,11.88
c5ad.2xlarge,2.71,7.43,17.55,23.77
c5ad.4xlarge,5.42,14.85,35.11,47.53
c5ad.8xlarge,10.84,29.7,70.21,95.06
c5ad.12xlarge,16.26,44.56,105.32,142.6
c5ad.16xlarge,21.68,59.41,140.42,190.13
c5ad.24xlarge,32.52,89.11,210.63,285.19
c5d.large,1.41,3.75,8.14,11.77
c5d.xlarge,2.81,7.49,16.29,23.54
c5d.2xlarge,5.63,14.98,32.58,47.08
c5d.4xlarge,11.26,29.97,65.16,94.15
c5d.9xlarge,25.33,67.43,146.61,211.84
c5d.12xlarge,28.97,87.77,224.16,313.38
c5d.18xlarge,50.66,134.85,293.21,423.68
c5d.24xlarge,57.93,175.53,448.31,626.76
c5d.metal,57.93,175.53,448.31,626.76
c5n.large,1.41,3.75,8.14,11.77
c5n.xlarge,2.81,7.49,16.29,23.54
c5n.2xlarge,5.63,14.98,32.58,47.08
c5n.4xlarge,11.26,29.97,65.16,94.15
c5n.9xlarge,25.33,67.43,146.61,211.84
c5n.18xlarge,50.66,134.85,293.21,423.68
c5n.metal,50.66,134.85,293.21,423.68
c6g.medium,0.27,0.75,1.76,2.39
c6g.large,0.54,1.49,3.53,4.77
c6g.xlarge,1.09,2.98,7.05,9.55
c6g.2xlarge,2.18,5.97,14.1,19.1
c6g.4xlarge,4.35,11.93,28.21,38.2
c6g.8xlarge,8.71,23.87,56.42,76.39
c6g.12xlarge,13.06,35.8,84.63,114.59
c6g.16xlarge,17.42,47.74,112.84,152.78
c6g.metal,17.42,47.74,112.84,152.78
c6gd.medium,0.27,0.75,1.76,2.39
c6gd.large,0.54,1.49,3.53,4.77
c6gd.xlarge,1.09,2.98,7.05,9.55
c6gd.2xlarge,2.18,5.97,14.1,19.1
c6gd.4xlarge,4.35,11.93,28.21,38.2
c6gd.8xlarge,8.71,23.87,56.42,76.39
c6gd.12xlarge,13.06,35.8,84.63,114.59
c6gd.16xlarge,17.42,47.74,112.84,152.78
c6gd.metal,17.42,47.74,112.84,152.78
c6gn.medium,0.27,0.75,1.76,2.39
c6gn.large,0.54,1.49,3.53,4.77
c6gn.xlarge,1.09,2.98,7.05,9.55
c6gn.2xlarge,2.18,5.97,14.1,19.1
c6gn.4xlarge,4.35,11.93,28.21,38.2
c6gn.8xlarge,8.71,23.87,56.42,76.39
c6gn.12xlarge,13.06,35.8,84.63,114.59
c6gn.16xlarge,17.42,47.74,112.84,152.78
d2.xlarge,2.41,6.89,14.16,19.39
d2.2xlarge,4.82,13.77,28.33,38.78
d2.4xlarge,9.65,27.55,56.66,77.55
d2.8xlarge,21.71,61.98,127.48,174.5
d3.xlarge,2.28,5.75,12.79,18.56
d3.2xlarge,4.56,11.49,25.58,37.12
d3.4xlarge,9.12,22.99,51.16,74.23
d3.8xlarge,18.24,45.97,102.31,148.46
d3en.xlarge,2.28,5.75,12.79,18.56
d3en.2xlarge,4.56,11.49,25.58,37.12
d3en.4xlarge,9.12,22.99,51.16,74.23
d3en.6xlarge,13.68,34.48,76.73,111.35
d3en.8xlarge,18.24,45.97,102.31,148.46
d3en.12xlarge,27.36,68.96,153.47,222.69
dc2.large,1.39,3.96,8.14,11.15
dc2.8xlarge,22.19,63.36,130.32,178.37
ds2.xlarge,2.41,6.89,14.16,19.39
ds2.8xlarge,21.71,61.98,127.48,174.5
f1.2xlarge,3.89,11.1,22.82,31.24
f1.4xlarge,7.77,22.19,45.64,62.47
f1.16xlarge,31.09,88.76,182.57,249.9
g2.2xlarge,6.94,19.8,40.72,55.74
g2.8xlarge,27.74,79.2,162.9,222.97
g3s.xlarge,1.94,5.55,11.41,15.62
g3.4xlarge,7.77,22.19,45.64,62.47
g3.8xlarge,15.55,44.38,91.28,124.95
g3.16xlarge,31.09,88.76,182.57,249.9
g4dn.xlarge,2.28,5.75,12.79,18.56
g4dn.2xlarge,4.56,11.49,25.58,37.12
g4dn.4xlarge,9.12,22.99,51.16,74.23
g4dn.8xlarge,18.24,45.97,102.31,148.46
g4dn.16xlarge,36.47,91.95,204.62,296.92
g4dn.12xlarge,27.36,68.96,153.47,222.69
g4dn.metal,54.71,137.92,306.93,445.38
g4ad.4xlarge,5.42,14.85,35.11,47.53
g4ad.8xlarge,10.84,29.7,70.21,95.06
g4ad.16xlarge,21.68,59.41,140.42,190.13
h1.2xlarge,3.89,11.1,22.82,31.24
h1.4xlarge,7.77,22.19,45.64,62.47
h1.8xlarge,15.55,44.38,91.28,124.95
h1.16xlarge,31.09,88.76,182.57,249.9
hs1.8xlarge,13.87,39.6,81.45,111.48
i2.xlarge,2.77,7.92,16.29,22.3
i2.2xlarge,5.55,15.84,32.58,44.59
i2.4xlarge,11.1,31.68,65.16,89.19
i2.8xlarge,22.19,63.36,130.32,178.37
i3.large,0.97,2.77,5.71,7.81
i3.xlarge,1.94,5.55,11.41,15.62
i3.2xlarge,3.89,11.1,22.82,31.24
i3.4xlarge,7.77,22.19,45.64,62.47
i3.8xlarge,15.55,44.38,91.28,124.95
i3.16xlarge,31.09,88.76,182.57,249.9
i3.metal,34.98,99.86,205.39,281.13
i3en.large,1.21,3.05,7.16,9.96
i3en.xlarge,2.41,6.11,14.32,19.92
i3en.2xlarge,4.82,12.22,28.64,39.83
i3en.3xlarge,7.24,18.33,42.96,59.75
i3en.6xlarge,14.47,36.66,85.93,119.49
i3en.12xlarge,28.94,73.32,171.85,238.99
i3en.24xlarge,57.88,146.63,343.7,477.98
i3en.metal,57.88,146.63,343.7,477.98
inf1.xlarge,2.41,7.31,18.68,26.11
inf1.2xlarge,4.83,14.63,37.36,52.23
inf1.6xlarge,14.48,43.88,112.08,156.69
inf1.24xlarge,57.93,175.53,448.31,626.76
m1.small,0.72,2.04,4.21,5.76
m1.medium,0.72,2.04,4.21,5.76
m1.large,1.43,4.09,8.41,11.51
m1.xlarge,2.86,8.18,16.82,23.02
m2.xlarge,1.73,4.95,10.18,13.94
m2.2xlarge,3.47,9.9,20.36,27.87
m2.4xlarge,6.94,19.8,40.72,55.74
m3.medium,0.87,2.47,5.09,6.97
m3.large,1.73,4.95,10.18,13.94
m3.xlarge,3.47,9.9,20.36,27.87
m3.2xlarge,6.94,19.8,40.72,55.74
m4.large,0.97,2.77,5.71,7.81
m4.xlarge,1.94,5.55,11.41,15.62
m4.2xlarge,3.89,11.1,22.82,31.24
m4.4xlarge,7.77,22.19,45.64,62.47
m4.10xlarge,24.12,68.87,141.65,193.88
m4.16xlarge,31.09,88.76,182.57,249.9
m5.large,1.21,3.05,7.16,9.96
m5.xlarge,2.41,6.11,14.32,19.92
m5.2xlarge,4.82,12.22,28.64,39.83
m5.4xlarge,9.65,24.44,57.28,79.66
m5.8xlarge,19.29,48.88,114.57,159.33
m5.12xlarge,28.94,73.32,171.85,238.99
m5.16xlarge,38.59,97.75,229.13,318.65
m5.24xlarge,57.88,146.63,343.7,477.98
m5.metal,57.88,146.63,343.7,477.98
m5a.large,0.97,2.65,6.27,8.49
m5a.xlarge,1.94,5.3,12.54,16.98
m5a.2xlarge,3.87,10.61,25.08,33.95
m5a.4xlarge,7.74,21.22,50.15,67.9
m5a.8xlarge,15.48,42.43,100.3,135.81
m5a.12xlarge,23.23,63.65,150.45,203.71
m5a.16xlarge,30.97,84.87,200.6,271.61
m5a.24xlarge,46.45,127.3,300.91,407.42
m5ad.large,0.97,2.65,6.27,8.49
m5ad.xlarge,1.94,5.3,12.54,16.98
m5ad.2xlarge,3.87,10.61,25.08,33.95
m5ad.4xlarge,7.74,21.22,50.15,67.9
m5ad.8xlarge,15.48,42.43,100.3,135.81
m5ad.12xlarge,23.23,63.65,150.45,203.71
m5ad.16xlarge,30.97,84.87,200.6,271.61
m5ad.24xlarge,46.45,127.3,300.91,407.42
m5d.large,1.21,3.05,7.16,9.96
m5d.xlarge,2.41,6.11,14.32,19.92
m5d.2xlarge,4.82,12.22,28.64,39.83
m5d.4xlarge,9.65,24.44,57.28,79.66
m5d.8xlarge,19.29,48.88,114.57,159.33
m5d.12xlarge,28.94,73.32,171.85,238.99
m5d.16xlarge,38.59,97.75,229.13,318.65
m5d.24xlarge,57.88,146.63,343.7,477.98
m5d.metal,57.88,146.63,343.7,477.98
m5dn.large,1.14,2.87,6.39,9.28
m5dn.xlarge,2.28,5.75,12.79,18.56
m5dn.2xlarge,4.56,11.49,25.58,37.12
m5dn.4xlarge,9.12,22.99,51.16,74.23
m5dn.8xlarge,18.24,45.97,102.31,148.46
m5dn.12xlarge,27.36,68.96,153.47,222.69
m5dn.16xlarge,36.47,91.95,204.62,296.92
m5dn.24xlarge,54.71,137.92,306.93,445.38
m5dn.metal,54.71,137.92,306.93,445.38
m5n.large,1.14,2.87,6.39,9.28
m5n.xlarge,2.28,5.75,12.79,18.56
m5n.2xlarge,4.56,11.49,25.58,37.12
m5n.4xlarge,9.12,22.99,51.16,74.23
m5n.8xlarge,18.24,45.97,102.31,148.46
m5n.12xlarge,27.36,68.96,153.47,222.69
m5n.16xlarge,36.47,91.95,204.62,296.92
m5n.24xlarge,54.71,137.92,306.93,445.38
m5n.metal,54.71,137.92,306.93,445.38
m5zn.large,2.38,6.13,15.88,19.66
m5zn.xlarge,4.75,12.25,31.75,39.31
m5zn.2xlarge,9.5,24.5,63.5,78.63
m5zn.3xlarge,14.25,36.75,95.25,117.94
m5zn.6xlarge,28.5,73.5,190.5,235.88
m5zn.12xlarge,57,147,381,471.75
m5zn.metal,57,147,381,471.75
m6g.medium,0.27,0.75,1.76,2.39
m6g.large,0.54,1.49,3.53,4.77
m6g.xlarge,1.09,2.98,7.05,9.55
m6g.2xlarge,2.18,5.97,14.1,19.1
m6g.4xlarge,4.35,11.93,28.21,38.2
m6g.8xlarge,8.71,23.87,56.42,76.39
m6g.12xlarge,13.06,35.8,84.63,114.59
m6g.16xlarge,17.42,47.74,112.84,152.78
m6g.metal,17.42,47.74,112.84,152.78
m6gd.medium,0.27,0.75,1.76,2.39
m6gd.large,0.54,1.49,3.53,4.77
m6gd.xlarge,1.09,2.98,7.05,9.55
m6gd.2xlarge,2.18,5.97,14.1,19.1
m6gd.4xlarge,4.35,11.93,28.21,38.2
m6gd.8xlarge,8.71,23.87,56.42,76.39
m6gd.12xlarge,13.06,35.8,84.63,114.59
m6gd.16xlarge,17.42,47.74,112.84,152.78
m6gd.metal,17.42,47.74,112.84,152.78
m6i.large,1.09,2.98,7.05,9.55
m6i.xlarge,2.18,5.97,14.1,19.1
m6i.2xlarge,4.35,11.93,28.21,38.2
m6i.4xlarge,8.71,23.87,56.42,76.39
m6i.8xlarge,17.42,47.74,112.84,152.78
m6i.12xlarge,26.13,71.61,169.26,229.17
m6i.16xlarge,34.84,95.48,225.68,305.56
m6i.24xlarge,52.26,143.22,338.52,458.35
m6i.32xlarge,69.68,190.96,451.36,611.13
mac1.metal,7.55,20.69,48.9,66.21
p2.xlarge,1.94,5.55,11.41,15.62
p2.8xlarge,15.55,44.38,91.28,124.95
p2.16xlarge,31.09,88.76,182.57,249.9
p3.2xlarge,3.89,11.1,22.82,31.24
p3.8xlarge,15.55,44.38,91.28,124.95
p3.16xlarge,31.09,88.76,182.57,249.9
p3dn.24xlarge,57.88,146.63,343.7,477.98
p4d.24xlarge,57.93,175.53,448.31,626.76
ra3.4xlarge,7.24,20.66,42.49,58.17
ra3.16xlarge,28.95,82.64,169.98,232.66
r3.large,1.39,3.96,8.14,11.15
r3.xlarge,2.77,7.92,16.29,22.3
r3.2xlarge,5.55,15.84,32.58,44.59
r3.4xlarge,11.1,31.68,65.16,89.19
r3.8xlarge,22.19,63.36,130.32,178.37
r4.large,0.97,2.77,5.71,7.81
r4.xlarge,1.94,5.55,11.41,15.62
r4.2xlarge,3.89,11.1,22.82,31.24
r4.4xlarge,7.77,22.19,45.64,62.47
r4.8xlarge,15.55,44.38,91.28,124.95
r4.16xlarge,31.09,88.76,182.57,249.9
r5.large,1.21,3.05,7.16,9.96
r5.xlarge,2.41,6.11,14.32,19.92
r5.2xlarge,4.82,12.22,28.64,39.83
r5.4xlarge,9.65,24.44,57.28,79.66
r5.8xlarge,19.29,48.88,114.57,159.33
r5.12xlarge,28.94,73.32,171.85,238.99
r5.16xlarge,38.59,97.75,229.13,318.65
r5.24xlarge,57.88,146.63,343.7,477.98
r5.metal,57.88,146.63,343.7,477.98
r5a.large,0.97,2.65,6.27,8.49
r5a.xlarge,1.94,5.3,12.54,16.98
r5a.2xlarge,3.87,10.61,25.08,33.95
r5a.4xlarge,7.74,21.22,50.15,67.9
r5a.8xlarge,15.48,42.43,100.3,135.81
r5a.12xlarge,23.23,63.65,150.45,203.71
r5a.16xlarge,30.97,84.87,200.6,271.61
r5a.24xlarge,46.45,127.3,300.91,407.42
r5ad.large,0.97,2.65,6.27,8.49
r5ad.xlarge,1.94,5.3,12.54,16.98
r5ad.2xlarge,3.87,10.61,25.08,33.95
r5ad.4xlarge,7.74,21.22,50.15,67.9
r5ad.8xlarge,15.48,42.43,100.3,135.81
r5ad.12xlarge,23.23,63.65,150.45,203.71
r5ad.16xlarge,30.97,84.87,200.6,271.61
r5ad.24xlarge,46.45,127.3,300.91,407.42
r5d.large,1.14,2.87,6.39,9.28
r5d.xlarge,2.28,5.75,12.79,18.56
r5d.2xlarge,4.56,11.49,25.58,37.12
r5d.4xlarge,9.12,22.99,51.16,74.23
r5d.8xlarge,18.24,45.97,102.31,148.46
r5d.12xlarge,27.36,68.96,153.47,222.69
r5d.16xlarge,36.47,91.95,204.62,296.92
r5d.24xlarge,54.71,137.92,306.93,445.38
r5d.metal,54.71,137.92,306.93,445.38
r5dn.large,1.14,2.87,6.39,9.28
r5dn.xlarge,2.28,5.75,12.79,18.56
r5dn.2xlarge,4.56,11.49,25.58,37.12
r5dn.4xlarge,9.12,22.99,51.16,74.23
r5dn.8xlarge,18.24,45.97,102.31,148.46
r5dn.12xlarge,27.36,68.96,153.47,222.69
r5dn.16xlarge,36.47,91.95,204.62,296.92
r5dn.24xlarge,54.71,137.92,306.93,445.38
r5dn.metal,54.71,137.92,306.93,445.38
r5n.large,1.14,2.87,6.39,9.28
r5n.xlarge,2.28,5.75,12.79,18.56
r5n.2xlarge,4.56,11.49,25.58,37.12
r5n.4xlarge,9.12,22.99,51.16,74.23
r5n.8xlarge,18.24,45.97,102.31,148.46
r5n.12xlarge,27.36,68.96,153.47,222.69
r5n.16xlarge,36.47,91.95,204.62,296.92
r5n.24xlarge,54.71,137.92,306.93,445.38
r5n.metal,54.71,137.92,306.93,445.38
r5b.large,1.14,2.87,6.39,9.28
r5b.xlarge,2.28,5.75,12.79,18.56
r5b.2xlarge,4.56,11.49,25.58,37.12
r5b.4xlarge,9.12,22.99,51.16,74.23
r5b.8xlarge,18.24,45.97,102.31,148.46
r5b.12xlarge,27.36,68.96,153.47,222.69
r5b.16xlarge,36.47,91.95,204.62,296.92
r5b.24xlarge,54.71,137.92,306.93,445.38
r5b.metal,54.71,137.92,306.93,445.38
r6g.medium,0.27,0.75,1.76,2.39
r6g.large,0.54,1.49,3.53,4.77
r6g.xlarge,1.09,2.98,7.05,9.55
r6g.2xlarge,2.18,5.97,14.1,19.1
r6g.4xlarge,4.35,11.93,28.21,38.2
r6g.8xlarge,8.71,23.87,56.42,76.39
r6g.12xlarge,13.06,35.8,84.63,114.59
r6g.16xlarge,17.42,47.74,112.84,152.78
r6g.metal,17.42,47.74,112.84,152.78
r6gd.medium,0.27,0.75,1.76,2.39
r6gd.large,0.54,1.49,3.53,4.77
r6gd.xlarge,1.09,2.98,7.05,9.55
r6gd.2xlarge,2.18,5.97,14.1,19.1
r6gd.4xlarge,4.35,11.93,28.21,38.2
r6gd.8xlarge,8.71,23.87,56.42,76.39
r6gd.12xlarge,13.06,35.8,84.63,114.59
r6gd.16xlarge,17.42,47.74,112.84,152.78
r6gd.metal,17.42,47.74,112.84,152.78
t1.micro,0.87,2.47,5.09,6.97
t2.nano,0.6,1.72,3.54,4.85
t2.micro,0.6,1.72,3.54,4.85
t2.small,0.6,1.72,3.54,4.85
t2.medium,1.21,3.44,7.08,9.69
t2.large,0.97,2.77,5.71,7.81
t2.xlarge,1.94,5.55,11.41,15.62
t2.2xlarge,3.89,11.1,22.82,31.24
t3.nano,1.21,3.05,7.16,9.96
t3.micro,1.21,3.05,7.16,9.96
t3.small,1.21,3.05,7.16,9.96
t3.medium,1.21,3.05,7.16,9.96
t3.large,1.21,3.05,7.16,9.96
t3.xlarge,2.41,6.11,14.32,19.92
t3.2xlarge,4.82,12.22,28.64,39.83
t3a.nano,0.97,2.65,6.27,8.49
t3a.micro,0.97,2.65,6.27,8.49
t3a.small,0.97,2.65,6.27,8.49
t3a.medium,0.97,2.65,6.27,8.49
t3a.large,0.97,2.65,6.27,8.49
t3a.xlarge,1.94,5.3,12.54,16.98
t3a.2xlarge,3.87,10.61,25.08,33.95
t4g.nano,0.54,1.49,3.53,4.77
t4g.micro,0.54,1.49,3.53,4.77
t4g.small,0.54,1.49,3.53,4.77
t4g.medium,0.54,1.49,3.53,4.77
t4g.large,0.54,1.49,3.53,4.77
t4g.xlarge,1.09,2.98,7.05,9.55
t4g.2xlarge,2.18,5.97,14.1,19.1
u-6tb1.metal,159.17,403.23,945.18,1314.43
u-9tb1.metal,159.17,403.23,945.18,1314.43
u-12tb1.metal,159.17,403.23,945.18,1314.43
u-18tb1.metal,159.17,403.23,945.18,1314.43
u-24tb1.metal,159.17,403.23,945.18,1314.43
x1.16xlarge,36.19,103.3,212.47,290.83
x1.32xlarge,72.37,206.61,424.94,581.65
x1e.xlarge,2.26,6.46,13.28,18.18
x1e.2xlarge,4.52,12.91,26.56,36.35
x1e.4xlarge,9.05,25.83,53.12,72.71
x1e.8xlarge,18.09,51.65,106.24,145.41
x1e.16xlarge,36.19,103.3,212.47,290.83
x1e.32xlarge,72.37,206.61,424.94,581.65
x2gd.medium,0.27,0.75,1.76,2.39
x2gd.large,0.54,1.49,3.53,4.77
x2gd.xlarge,1.09,2.98,7.05,9.55
x2gd.2xlarge,2.18,5.97,14.1,19.1
x2gd.4xlarge,4.35,11.93,28.21,38.2
x2gd.8xlarge,8.71,23.87,56.42,76.39
x2gd.12xlarge,13.06,35.8,84.63,114.59
x2gd.16xlarge,17.42,47.74,112.84,152.78
x2gd.metal,17.42,47.74,112.84,152.78
z1d.large,2,6.17,15.04,18.38
z1d.xlarge,4,12.33,30.08,36.75
z1d.2xlarge,8,24.67,60.17,73.5
z1d.3xlarge,12,37,90.25,110.25
z1d.6xlarge,24,74,180.5,220.5
z1d.12xlarge,48,148,361,441
z1d.metal,48,148,361,441
cache.t2.micro,0.6,1.72,3.54,4.85
cache.t2.small,0.6,1.72,3.54,4.85
cache.t2.medium,1.21,3.44,7.08,9.69
cache.t3.micro,1.21,3.05,7.16,9.96
cache.t3.small,1.21,3.05,7.16,9.96
cache.t3.medium,1.21,3.05,7.16,9.96
cache.m3.medium,0.87,2.47,5.09,6.97
cache.m4.large,0.97,2.77,5.71,7.81
cache.m4.xlarge,1.94,5.55,11.41,15.62
cache.m4.2xlarge,3.89,11.1,22.82,31.24
cache.m4.4xlarge,7.77,22.19,45.64,62.47
cache.m4.10xlarge,24.12,68.87,141.65,193.88
cache.m5.large,1.14,2.87,6.39,9.28
cache.m5.xlarge,2.28,5.75,12.79,18.56
cache.m5.2xlarge,4.56,11.49,25.58,37.12
cache.m5.4xlarge,9.12,22.99,51.16,74.23
cache.m5.12xlarge,27.36,68.96,153.47,222.69
cache.m5.24xlarge,54.71,137.92,306.93,445.38
cache.m6g.large,0.54,1.49,3.53,4.77
cache.m6g.xlarge,1.09,2.98,7.05,9.55
cache.m6g.2xlarge,2.18,5.97,14.1,19.1
cache.m6g.4xlarge,4.35,11.93,28.21,38.2
cache.m6g.8xlarge,8.71,23.87,56.42,76.39
cache.m6g.12xlarge,13.06,35.8,84.63,114.59
cache.m6g.16xlarge,17.42,47.74,112.84,152.78
cache.r3.2xlarge,5.55,15.84,32.58,44.59
cache.r4.large,0.97,2.77,5.71,7.81
cache.r4.xlarge,1.94,5.55,11.41,15.62
cache.r4.2xlarge,3.89,11.1,22.82,31.24
cache.r4.4xlarge,7.77,22.19,45.64,62.47
cache.r4.8xlarge,15.55,44.38,91.28,124.95
cache.r4.16xlarge,31.09,88.76,182.57,249.9
cache.r5.large,1.21,3.05,7.16,9.96
cache.r5.xlarge,2.41,6.11,14.32,19.92
cache.r5.2xlarge,4.82,12.22,28.64,39.83
cache.r5.4xlarge,9.65,24.44,57.28,79.66
cache.r5.12xlarge,28.94,73.32,171.85,238.99
cache.r5.24xlarge,57.88,146.63,343.7,477.98
cache.r6g.large,0.54,1.49,3.53,4.77
cache.r6g.xlarge,1.09,2.98,7.05,9.55
cache.r6g.2xlarge,2.18,5.97,14.1,19.1
cache.r6g.4xlarge,4.35,11.93,28.21,38.2
cache.r6g.8xlarge,8.71,23.87,56.42,76.39
cache.r6g.12xlarge,13.06,35.8,84.63,114.59
cache.r6g.16xlarge,17.42,47.74,112.84,152.78
t3.small.elasticsearch,1.21,3.05,7.16,9.96
t3.medium.elasticsearch,1.21,3.05,7.16,9.96
t2.micro.elasticsearch,0.6,1.72,3.54,4.85
t2.small.elasticsearch,0.6,1.72,3.54,4.85
t2.medium.elasticsearch,1.21,3.44,7.08,9.69
m5.large.elasticsearch,1.14,2.87,6.39,9.28
m5.xlarge.elasticsearch,2.28,5.75,12.79,18.56
m5.2xlarge.elasticsearch,4.56,11.49,25.58,37.12
m5.4xlarge.elasticsearch,9.12,22.99,51.16,74.23
m5.12xlarge.elasticsearch,27.36,68.96,153.47,222.69
m4.large.elasticsearch,0.97,2.77,5.71,7.81
m4.xlarge.elasticsearch,1.94,5.55,11.41,15.62
m4.2xlarge.elasticsearch,3.89,11.1,22.82,31.24
m4.4xlarge.elasticsearch,7.77,22.19,45.64,62.47
m4.10xlarge.elasticsearch,24.12,68.87,141.65,193.88
m3.medium.elasticsearch,0.87,2.47,5.09,6.97
m3.large.elasticsearch,1.73,4.95,10.18,13.94
m3.xlarge.elasticsearch,3.47,9.9,20.36,27.87
m3.2xlarge.elasticsearch,6.94,19.8,40.72,55.74
c5.large.elasticsearch,1.41,3.75,8.14,11.77
c5.xlarge.elasticsearch,2.81,7.49,16.29,23.54
c5.2xlarge.elasticsearch,5.63,14.98,32.58,47.08
c5.4xlarge.elasticsearch,11.26,29.97,65.16,94.15
c5.9xlarge.elasticsearch,25.33,67.43,146.61,211.84
c5.18xlarge.elasticsearch,50.66,134.85,293.21,423.68
c4.large.elasticsearch,1.63,4.65,9.56,13.09
c4.xlarge.elasticsearch,3.26,9.3,19.12,26.17
c4.2xlarge.elasticsearch,6.51,18.59,38.25,52.35
c4.4xlarge.elasticsearch,13.03,37.19,76.49,104.7
c4.8xlarge.elasticsearch,29.31,83.68,172.1,235.57
r5.large.elasticsearch,1.21,3.05,7.16,9.96
r5.xlarge.elasticsearch,2.41,6.11,14.32,19.92
r5.2xlarge.elasticsearch,4.82,12.22,28.64,39.83
r5.4xlarge.elasticsearch,9.65,24.44,57.28,79.66
r5.12xlarge.elasticsearch,28.94,73.32,171.85,238.99
r4.large.elasticsearch,0.97,2.77,5.71,7.81
r4.xlarge.elasticsearch,1.94,5.55,11.41,15.62
r4.2xlarge.elasticsearch,3.89,11.1,22.82,31.24
r4.4xlarge.elasticsearch,7.77,22.19,45.64,62.47
r4.8xlarge.elasticsearch,15.55,44.38,91.28,124.95
r4.16xlarge.elasticsearch,31.09,88.76,182.57,249.9
